video_id,title,description,tags,category_id,channel_title,published_at,views,likes,comments_count,platform,fetched_at,duration
W3fR4UiEc4Y,"ISU ROHINGYA | Ada Mohon Jadi AJK Kampung, Laksana Solat Jumaat - ADUN Duyong","Kewujudan komuniti Rohingya di beberapa kawasan di Melaka, disifatkan semakin membimbangkan, susulan pelbagai isu yang timbul. #BuletinTV3 #Rohingya #Melaka #IsuMembimbangkan

====================

Dapatkan berita terkini, tepat dan sahih dengan ‘SUBSCRIBE’ YouTube Buletin TV3

IKUTI kami di:
Facebook : https://www.facebook.com/BuletinTV3Official/
Twitter : https://twitter.com/BuletinTV3
Instagram : https://www.instagram.com/buletintv3/
Website : https://www.buletintv3.my
TikTok : https://www.tiktok.com/@buletintv3
Telegram : https://t.me/BuletinTV3Official
Whatsapp Channel : https://bit.ly/3SZnJ5L
LUMI : https://bit.ly/3ZhzNBm

Lagi berita terkini dan komprehensif, layari www.buletintv3.my #BuletinTV3 #BeritaTerkini","['BU', 'Buletin TV3', 'buletin utama', 'buletintv3', 'butv3']",25,Buletin TV3,2026-06-15T01:52:40Z,4835,67,85,Regular,2026-06-16 01:35:31,PT1M26S
J2DugHVUD0w,"Only 0.02pct of crimes involve Rohingya, says IGP","Only 0.02 per cent of crimes committed in Malaysia involve Rohingya individuals, according to Inspector-General of Police Tan Sri Mohd Khalid Ismail. He said crime should not be generalised to an entire community and stressed that enforcement actions are taken against individuals who break the law, regardless of nationality. 

The IGP also reiterated that the Rohingya issue requires a comprehensive and coordinated approach involving multiple agencies and regional cooperation, given its humanitarian, security and immigration dimensions.

Read more at:
https://www.nst.com.my/news/nation/2026/06/1463808/only-002pct-crimes-involve-rohingya-says-igp

----------------------------------
#NST #NSTTV #NSTOnline #Rohingya #IGP #PDRM #MalaysiaNews #CrimeStatistics #LawEnforcement #NationalSecurity #CurrentAffairs

visit us at http://www.nst.com.my 
our Facebook http://www.facebook.com/nstonline
more news at  http://www.twitter.com/NST_Online 
Instagram http://www.instagram.com/nstonline
and also Tiktok https://www.tiktok.com/@nstonline","['nstonline', 'NST', 'New Straits Times', 'news', 'BTH', '#BeyondTheHeadlines']",25,NST Online,2026-06-15T08:09:04Z,1506,20,9,Short,2026-06-16 01:35:31,PT1M3S
krqKemvnTRc,Humble alkaline water dumpling remains popular,"The humble kee chang took centre stage at a Dragon Boat Festival event organised by the Penang Chinese Town Hall, where visitors were introduced to the traditional alkaline water dumpling and its cultural significance.

Read more at https://tinyurl.com/3jj87b33

WATCH MORE: https://thestartv.com/c/news
SUBSCRIBE: https://cutt.ly/TheStar
LIKE: https://fb.com/TheStarOnline","['news', 'the star tv', 'the star', 'thestartv', 'kee chang', 'penang', 'boat festival', 'traditional', 'dumpling', 'alkaline water', 'culture']",25,The Star,2026-06-15T12:00:20Z,456,7,0,Regular,2026-06-16 01:35:31,PT1M28S
ZcFx6VamvNI,ISU ROHINGYA | Penempatan Wujud Di Hampir Semua Daerah Di Selangor (BU),"Di Selangor, penempatan etnik Rohingya dikesan di hampir seluruh daerah di negeri itu.


#IsuRohingya #PenempatanHaram #PolisSelangor #EtnikRohingya #BuletinUtama
====================

Dapatkan berita terkini, tepat dan sahih dengan ‘SUBSCRIBE’ YouTube Buletin TV3

IKUTI kami di:
Facebook : https://www.facebook.com/BuletinTV3Official/
Twitter : https://twitter.com/BuletinTV3
Instagram : https://www.instagram.com/buletintv3/
Website : https://www.buletintv3.my
TikTok : https://www.tiktok.com/@buletintv3
Telegram : https://t.me/BuletinTV3Official
Whatsapp Channel : https://bit.ly/3SZnJ5L
LUMI : https://bit.ly/3ZhzNBm

Lagi berita terkini dan komprehensif, layari www.buletintv3.my #BuletinTV3 #BeritaTerkini","['BU', 'Buletin TV3', 'buletin utama', 'buletintv3', 'butv3']",25,Buletin TV3,2026-06-15T12:25:53Z,1061,23,36,Regular,2026-06-16 01:35:31,PT57S
mom1SArXBiQ,"PERANG ASIA BARAT | AS-Iran Capai Kesepakatan, Perjanjian Damai Dimeterai Jumaat Ini (BU)","Amerika Syarikat dan Iran bersetuju memeterai Memorandum Persefahaman Jumaat ini, bagi menamatkan perang yang berlarutan lebih tiga bulan.


#PerangAsiaBarat #PerjanjianDamai #AmerikaIran #BuletinUtama
====================

Dapatkan berita terkini, tepat dan sahih dengan ‘SUBSCRIBE’ YouTube Buletin TV3

IKUTI kami di:
Facebook : https://www.facebook.com/BuletinTV3Official/
Twitter : https://twitter.com/BuletinTV3
Instagram : https://www.instagram.com/buletintv3/
Website : https://www.buletintv3.my
TikTok : https://www.tiktok.com/@buletintv3
Telegram : https://t.me/BuletinTV3Official
Whatsapp Channel : https://bit.ly/3SZnJ5L
LUMI : https://bit.ly/3ZhzNBm

Lagi berita terkini dan komprehensif, layari www.buletintv3.my #BuletinTV3 #BeritaTerkini","['BU', 'Buletin TV3', 'buletin utama', 'buletintv3', 'butv3']",25,Buletin TV3,2026-06-15T12:19:41Z,1287,42,5,Regular,2026-06-16 01:35:31,PT6M32S
OvinlFvCPVs,"Oil slips 4% as US, Iran reach peace deal to reopen Strait of Hormuz","Oil prices fell to their lowest level since March on Monday (June 15) after signs of a potential breakthrough in efforts to end the conflict between the United States and Iran and restore shipping through the Strait of Hormuz.

WATCH MORE: https://thestartv.com/c/news
SUBSCRIBE: https://cutt.ly/TheStar
LIKE: https://fb.com/TheStarOnline","['news', 'the star tv', 'the star', 'thestartv', 'us', 'iran', 'peace deal', 'war', 'strait of hormuz', 'oil', 'crude', 'price', 'drop', 'inflation', 'economy']",25,The Star,2026-06-15T10:11:13Z,460,1,0,Regular,2026-06-16 01:35:31,PT1M46S
dVHBYhtOIN8,"Urban poor not sidelined, Bukit Kiara project proves rights upheld","Prime Minister Datuk Seri Anwar Ibrahim said the Bukit Kiara development demonstrates the government's commitment to ensuring that the urban poor are not sidelined in the country's development agenda. 

He stressed that development must be inclusive and benefit all segments of society, particularly lower-income groups. 

Anwar said the project reflects the government's efforts to balance economic growth, housing needs and social equity, while ensuring that opportunities and basic amenities remain accessible to those in need.

Read more at:
https://www.nst.com.my/news/nation/2026/06/1463926/updated-anwar-urban-poor-not-sidelined-bukit-kiara-project-proves


----------------------------------
#NST #NSTTV #NSTOnline #AnwarIbrahim #PMX #MalaysiaMadani #AffordableHousing #UrbanPoor #BukitKiara #HousingForAll #KualaLumpur

visit us at http://www.nst.com.my 
our Facebook http://www.facebook.com/nstonline
more news at  http://www.twitter.com/NST_Online 
Instagram http://www.instagram.com/nstonline
and also Tiktok https://www.tiktok.com/@nstonline","['nstonline', 'NST', 'New Straits Times', 'news', 'BTH', '#BeyondTheHeadlines']",25,NST Online,2026-06-15T10:50:03Z,1008,5,1,Short,2026-06-16 01:35:31,PT1M16S
GKcRFAwnnpE,KEMALANGAN NGERI | Jenazah 4 Sekeluarga Selamat Dikebumikan Dalam Satu Liang Lahad (BU),"Jenazah empat sekeluarga yang maut dalam nahas ngeri dekat Bentong, semalam, selamat dikebumikan.


#KemalanganNgeri #NahasBukitTinggi #EmpatSekeluarga #SatuLiangLahad #BuletinUtama
====================

Dapatkan berita terkini, tepat dan sahih dengan ‘SUBSCRIBE’ YouTube Buletin TV3

IKUTI kami di:
Facebook : https://www.facebook.com/BuletinTV3Official/
Twitter : https://twitter.com/BuletinTV3
Instagram : https://www.instagram.com/buletintv3/
Website : https://www.buletintv3.my
TikTok : https://www.tiktok.com/@buletintv3
Telegram : https://t.me/BuletinTV3Official
Whatsapp Channel : https://bit.ly/3SZnJ5L
LUMI : https://bit.ly/3ZhzNBm

Lagi berita terkini dan komprehensif, layari www.buletintv3.my #BuletinTV3 #BeritaTerkini","['BU', 'Buletin TV3', 'buletin utama', 'buletintv3', 'butv3']",25,Buletin TV3,2026-06-15T12:20:39Z,2313,55,7,Regular,2026-06-16 01:35:31,PT1M13S
qLWl7HgdAn0,Here are the top 3 #StatePolls2026 stories for June 15,"Stay up to date with our daily 2026 state polls coverage at elections.thestar.com.my or https://www.thestar.com.my/tag/State+Polls+2026

WATCH MORE: https://thestartv.com/c/news
SUBSCRIBE: https://cutt.ly/TheStar
LIKE: https://fb.com/TheStarOnline","['news', 'the star tv', 'the star']",25,The Star,2026-06-15T12:31:34Z,1160,2,0,Short,2026-06-16 01:35:31,PT31S
ky0mfJcFdS8,KEMALANGAN MAUT | Keluarga Mahu Tindakan Tegas Terhadap Pemandu Treler,"====================

Dapatkan berita terkini, tepat dan sahih dengan ‘SUBSCRIBE’ YouTube Buletin TV3

Lagi berita terkini dan komprehensif, layari www.buletintv3.my

IKUTI kami di:
Facebook : https://www.facebook.com/BuletinTV3Official/
Twitter : https://twitter.com/BuletinTV3
Instagram : https://www.instagram.com/buletintv3/
Website : https://www.buletintv3.my
TikTok  : https://www.tiktok.com/@buletintv3 
Telegram : https://t.me/BuletinTV3Official
Whatsapp Channel : https://bit.ly/3SZnJ5L

#BuletinTV3 #TV3 #BuletinUtama","['Buletin TV3', 'berita semasa', 'berita terkini', 'perkembangan semasa', 'buletin malaysia', 'berita malaysia', 'tonton', 'ntv7', '8tv', 'astro awani', 'berita rtm', 'berita tv9', 'news Malaysia', 'news malay', 'news mpb', 'trending nombor 1', 'trending', 'trending worldwide']",25,Buletin TV3,2026-06-15T13:37:33Z,5556,163,4,Short,2026-06-16 01:35:31,PT1M17S
